Task ID,Task Name,Phase,Category,Priority,Role,Status,Dependencies,Est. Hours,Sprint
SET-01,User settings API,Phase 4,Settings,P3 Low,Backend,Not Started,PROF-01,3,Sprint 6
SET-02,Notification preferences API,Phase 4,Settings,P3 Low,Backend,Not Started,SET-01,2,Sprint 6
SET-03,Privacy settings API,Phase 4,Settings,P3 Low,Backend,Not Started,SET-01,2,Sprint 6
SET-04,Settings page UI,Phase 4,Settings,P3 Low,Frontend,Not Started,SET-01,5,Sprint 6
SET-05,Notification settings UI,Phase 4,Settings,P3 Low,Frontend,Not Started,SET-02,3,Sprint 6
SET-06,Privacy settings UI,Phase 4,Settings,P3 Low,Frontend,Not Started,SET-03,3,Sprint 6
LEARN-01,Tutorials content table,Phase 4,Learn/Tutorials,P3 Low,Backend,Not Started,None,2,Sprint 7
LEARN-02,Get tutorials API,Phase 4,Learn/Tutorials,P3 Low,Backend,Not Started,LEARN-01,2,Sprint 7
LEARN-03,Tutorials listing page,Phase 4,Learn/Tutorials,P3 Low,Frontend,Not Started,LEARN-02,4,Sprint 7
LEARN-04,Tutorial video player,Phase 4,Learn/Tutorials,P3 Low,Frontend,Not Started,LEARN-03,4,Sprint 7
LEARN-05,Rules & tips page,Phase 4,Learn/Tutorials,P3 Low,Frontend,Not Started,None,4,Sprint 7
